#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Aliiglaciecola litoralis	 JCM 15896, JCM:15896, KMM 3894, KMM:3894, NRIC 0754, NRIC:0754, Sd 2-38	no	no
Halorussus ruber	 CGMCC 1.12122, CGMCC:1.12122, JCM 18363, JCM:18363, YC25	yes	no
Nocardioides exalbidus	 CCTCC AA206016, DSM 22017, DSM:22017, IAM 15416, IAM:15416, JCM 23199, JCM:23199, RC825	yes	yes
Mobilicoccus pelagius	 Aji5-31, DSM 22762, DSM:22762, NBRC 104925, NBRC:104925	yes	yes
Hymenobacter rivuli	 BCCM/LMG:29559, BCRC 80979, BCRC:80979, KCTC 52236, KCTC:52236, LMG 29559, LMG:29559, TAPP3	yes	no
Nocardioides dokdonensis	 DSM 22004, FR1436, JCM 14815, JCM:14815, KCTC 19309, KCTC:19309	yes	yes
Brenneria populi subsp. brevivirga	 CFCC 11935, CFCC:11935, D8-10-4-5, KCTC 42841, KCTC:42841	yes	no
Chondromyces apiculatus	 Cm a14, DSM 14605, DSM:14605, JCM 12615, JCM:12615, TC 4481, TC:4481	yes	no
Pasteurella langaaensis	 ATCC 43328, ATCC:43328, CCUG 15566, CCUG:15566, CIP 102678, CIP:102678, DSM 22999, DSM:22999, F73, NCTC 11411, NCTC:11411	yes	yes
Microtetraspora tyrrhenii	 ATCC 53931, Q464-31	no	no
Psychrobacter submarinus	 DSM 14161, DSM:14161, KMM 225, KMM:225	yes	no
Acinetobacter qingfengensis	 2BJ1, CFCC 10890, CFCC:10890, KCTC 32225, KCTC:32225	yes	no
Actinomadura namibiensis	 DSM 44197, DSM:44197, HAG 010767, JCM 13238, JCM:13238, NRRL B-24153, NRRL:B:24153	yes	no
Bacillus salarius	 BH169, DSM 16461, DSM 28800, DSM:16461, KCTC 3912, KCTC:3912	yes	no
Methanobacterium bryantii	 ATCC 33272, ATCC:33272, DSM 863, DSM:863, M.o.H., MoH, OCM 110, OCM:110, VKM B-1629, VKM:B:1629	yes	yes
Marinobacter xestospongiae	 JCM 17469, JCM:17469, NRRL B-59512, NRRL:B:59512, UST090418-1611	yes	no
Raineyella antarctica	 ATCC TSD-18, ATCC:TSD:18, DSM 100494, DSM:100494, JCM 30886, JCM:30886, LZ-22	yes	yes
Enterococcus ureilyticus	 BCCM/LMG:26676, CCM 4629, CCM:4629, CCUG 48799, CCUG:48799, DSM 102981, LMG 26676, LMG:26676	yes	yes
Pseudomonas laurylsulfatiphila	 AP3_16, DSM 105097, PCM 2903	no	no
Fusobacterium necrophorum	 ATCC 25286, ATCC:25286, CCUG 9994, CCUG:9994, CIP 104559, CIP:104559, DSM 19788, DSM 21784, DSM:21784, JCM 3718, JCM:3718, VPI 2891, VPI:2891	yes	yes
Leeuwenhoekiella blandensis	 CCUG 51940, CCUG:51940, CECT 7118, CECT:7118, MED 217	yes	yes
Actinokineospora baliensis	 BTCC B-554, BTCC:B:554, DSM 45656, DSM:45656, ID03-0561, NBRC 104211, NBRC:104211	yes	no
Idiomarina homiensis	 DSM 17923, DSM:17923, KACC 11514, KACC:11514, PO-M2	yes	yes
Streptomyces viridobrunneus	 ATCC 43698, ATCC:43698, BCCM/LMG:20317, DSM 41466, DSM:41466, IFO 15902, IFO:15902, INMI 300, INMI:300, JCM 9096, JCM:9096, LMG 20317, LMG:20317, NBRC 15902, NBRC:15902, VKM 559, VKM Ac-559, VKM:Ac:559	yes	no
Shimia marina	 CECT 7688, CECT:7688, CL-TA03, DSM 26895, DSM:26895, JCM 13038, JCM:13038, KCCM 42117, KCCM:42117	yes	yes
Flavobacterium zaozhuangense	 CCTCC AB 2017243, CCTCC:AB:2017243, KCTC 62315, KCTC:62315, ZZ-8	yes	no
Phocaeicola abscessus	 7401987, CCUG 55929, CCUG:55929, CSUR P22, DSM 21584, DSM:21584, JCM 16570, JCM:16570	yes	yes
Mycolicibacterium obuense	 4388, 47001, ATCC 27023, ATCC:27023, CCUG 37669, CCUG:37669, CIP 106803, CIP:106803, DSM 44075, DSM:44075, HAMBI 2272, HAMBI:2272, JCM 6372, JCM:6372, NCTC 10778, NCTC:10778	yes	yes
Ammoniphilus resinae	 BCRC 80314, BCRC:80314, CC-RT-E, DSM 24738, DSM:24738	yes	no
Amphritea atlantica	 BCCM/LMG:24143, DSM 18887, DSM:18887, LMG 24143, LMG:24143, M41	yes	yes
Acidovorax oryzae	 ATCC 19882, ATCC:19882, FC-143, ICMP 3960, ICMP:3960, ICPB 30003, ICPB PS177, ICPB:30003, NCPPB 1392, NCPPB:1392	yes	yes
Fontibacillus pullulanolyticus	 DSHK107, DSM 100116, DSM:100116, NCCB 100560, NCCB:100560	yes	no
Bradyrhizobium ottawaense	 BCCM/LMG:26739, HAMBI 3284, HAMBI:3284, LMG 26739, LMG:26739, OO99	yes	yes
Cronbergia siamensis	 CCALA 756, CCALA:756, SAG 11.82, SAG B11.82, SAG:11.82	yes	no
Leptospira perolatii	 FH1-B-B1	no	yes
